range	bloomHash	bloomSize	indexHash	indexSize
003860522-003876021	QmP3N8bd7xmbqhHppQDXCGrRtbiAbxJs5dHGWdPTfEu1nr	1048646	QmRgcuseLAL3B64G1LNH7783AFCJxRGSUVWekVqZ9PjLq4	26280304
003876022-003893410	Qme9t9Hptmp75wiqaqFCouKjLjXutiDCTkpu4sNbGUaVFT	917570	QmPzQpk7fuV9ioi5ZbC8VrfSBR22tri61sSzPJ62kK5tEL	25579092
003893411-003900000	QmWsW87zqRPZgRr3yNa5M49dMgSuLWqHUrBbY7F5UJchbQ	524342	QmaaUUVTeowpttXzykb8oy2QhuQu5dZSREUmbmyM7aiKB9	12135148
003900001-003914814	QmRWZ5tEddB8DoDh3oajF1JZpAuU8m2dKhTeZHpmu7heVj	1048646	QmRXfQVgKsuUJykREDcA1FyfJEL4nJRon8F5GCxyWaYey7	26111004
003914815-003930079	QmdnMehBzev2cmi6vC14ef6jjbwEYTjy67MxuX6z4hVGs4	1048646	QmcGywFhtTqSmCKsbj6k36qb4iwdh7ViGCh9iqJVEQQGsg	26308088
003930080-003944044	QmUHMYodba9n87LfmCbBk8KFmYLGDJbeZTEXe68gn8okJQ	1048646	QmTdZijV2DbEFbbc1ji9bGyMtzb2FR5Gdw5sTSFyoBpBme	26234168
003944045-003959265	QmZF3yv7h4BgYAnQmqWLB2Cfgc36xDD9ARP7JC4KxPsRr5	1048646	QmP16JZGHLrmTmWsWEjMzBwqoWAHUcBzwLxyStGtZsd1Rg	25806824
003959266-003973709	QmUnza4AbV3ZFUmj3QkDqwJzUrZbweZv1AzdsM4C7woKqk	917570	QmR1jNFsgCNQG1de2fUfKcu7F6WUJWSrXPWwT5CAJ6CCoQ	25251412
003973710-003988232	QmRQfYcjwi5tNCDARDyczKh8Vu23Nr1iL1DkseQC4X6CzH	917570	QmaC3Ky3zLiQHkEbpdFNbk6h6MnLieNEj9pdtQHSFCQd6r	25578420
003988233-004000000	QmTFf97BcfVmdoXsxwjhyKpD5jBYqrSrqEQLPKFdoa89rz	786494	QmcmEMdyXiywaPSQjdGHFE1Mf9HaLch8zVS2nRXW3DMuyC	19711780
004000001-004012393	QmcRBAXZ72j4kyDm27UMULtbn9ELELw383HZi2CSSaiqA2	917570	Qma6a9N14hUZ9Dxm6mPp6eong9QY1C7KQGLEf4iu588gVQ	25281964
004012394-004025574	QmexJq4SBGH57gwfe6Bu7S9gfH1mXu7qSnKG5edMJM8Qno	917570	Qma4vQDAq1zdcwZBK4LJsi3bNT3SBHKM5FXS8SWaT9s1mD	25238680
